,Date,Open,High,Low,Close,Adj Close,Volume
40,2021-10-11,0.2287,0.2394,0.2249,0.2312,0.2312,1072711057
41,2021-10-12,0.2312,0.2318,0.216,0.2261,0.2261,1030470079
42,2021-10-13,0.226,0.2342,0.2203,0.2326,0.2326,1044380785
43,2021-10-14,0.2325,0.2403,0.2311,0.2325,0.2325,1098049682
44,2021-10-15,0.2325,0.2436,0.2239,0.234,0.234,1457540715
45,2021-10-16,0.2341,0.2459,0.2337,0.2372,0.2372,1224144433
46,2021-10-17,0.2373,0.2421,0.2252,0.2378,0.2378,1210409235
47,2021-10-18,0.2377,0.273,0.237,0.2474,0.2474,4909224967
48,2021-10-19,0.2474,0.255,0.2399,0.2454,0.2454,1415459318
49,2021-10-20,0.2454,0.262,0.2421,0.2548,0.2548,1638568849
50,2021-10-21,0.2548,0.2584,0.2382,0.2424,0.2424,1573673715
51,2021-10-22,0.2425,0.2549,0.2352,0.2446,0.2446,1553243637
52,2021-10-23,0.2446,0.254,0.24,0.2511,0.2511,1258672648
53,2021-10-24,0.2511,0.2832,0.2457,0.2756,0.2756,4887922846
54,2021-10-25,0.2757,0.2805,0.2585,0.2651,0.2651,2939692178
55,2021-10-26,0.2651,0.2743,0.252,0.2559,0.2559,2132162373
56,2021-10-27,0.2558,0.2636,0.2169,0.2379,0.2379,5223432326
57,2021-10-28,0.2379,0.34,0.2324,0.2997,0.2997,17320109431
58,2021-10-29,0.2997,0.307,0.2752,0.2882,0.2882,4977184874
59,2021-10-30,0.2882,0.295,0.258,0.269,0.269,3441001301
60,2021-10-31,0.269,0.2852,0.252,0.28,0.28,3857354566
61,2021-11-01,0.28,0.2866,0.2631,0.2716,0.2716,2497093967
62,2021-11-02,0.2716,0.281,0.2666,0.2739,0.2739,1912493294
63,2021-11-03,0.2739,0.2776,0.262,0.2689,0.2689,1607498166
64,2021-11-04,0.2689,0.2709,0.2539,0.263,0.263,1446957670
65,2021-11-05,0.263,0.2709,0.2547,0.2609,0.2609,1282376452
